,year,date,stream,total_value,total_volume,ma_volume,ma_value,day
162,2020,7/13/2020,A-ABM Adjust.,6733.79,43,37.4,6346.944,7/13/2021
163,2020,7/13/2020,B-CSB,195804.01,350,320.2,362209.724,7/13/2021
164,2020,7/13/2020,C-AFT Credit,11939264381,3519321,2303312.6,8738333352,7/13/2021
165,2020,7/13/2020,D-AFT Debit,3653343310,3387038,2913360.4,2937179098,7/13/2021
166,2020,7/13/2020,E-Encoded Paper,774123898.5,34972,39182.2,594184731.8,7/13/2021
167,2020,7/13/2020,F-Remittances,1813576.7,1925,1693,1924489.316,7/13/2021
168,2020,7/13/2020,G-Rec Gen Warr,361673203.7,300620,232083.2,361096518.6,7/13/2021
169,2020,7/13/2020,H-Bonds & Coupon,0,0,6.2,206.65,7/13/2021
170,2020,7/13/2020,I-Images,0,0,0,0,7/13/2021
171,2020,7/13/2020,J-Online Cr Pmt,5026589.74,14603,17561.2,5750522.002,7/13/2021
172,2020,7/13/2020,K-Online Pmt Ref,65477.59,361,389.8,46782.522,7/13/2021
173,2020,7/13/2020,M-Gov Direc Dep,1287382288,339998,2694007.2,2231650452,7/13/2021
174,2020,7/13/2020,N-Shared Network,66693063.29,409326,450418.2,70196645.29,7/13/2021
175,2020,7/13/2020,O-Images,7931158437,1219358,1266573.8,7918385755,7/13/2021
176,2020,7/13/2020,P-POS - DR,747410825,17354898,20880536,860772675.7,7/13/2021
177,2020,7/13/2020,Q-POS - CR,8435580.19,121818,162549.8,10858955.64,7/13/2021
178,2020,7/13/2020,R-Image Returns,0,0,0,0,7/13/2021
179,2020,7/13/2020,S-Image Returns,5042317.92,729,1121,5894983.918,7/13/2021
180,2020,7/13/2020,U-Unqualified,1804563.36,750,769.2,1448661.46,7/13/2021
181,2020,7/13/2020,V-SET,0,0,0,0,7/13/2021
182,2020,7/13/2020,X-EDI,553347507,16967,15907.8,536557669.2,7/13/2021
183,2020,7/13/2020,Y-Remittances,847699445.3,1616905,1812031.6,995948209.7,7/13/2021
184,2020,7/13/2020,Z-Computer Rejects,607276.9,188,247.2,2314521.51,7/13/2021
185,2020,7/14/2020,A-ABM Adjust.,8418.05,40,39.2,6840.504,7/14/2021
186,2020,7/14/2020,B-CSB,584527.96,468,330,385281.882,7/14/2021
187,2020,7/14/2020,C-AFT Credit,8917298172,1797835,2299963.6,8803080140,7/14/2021
188,2020,7/14/2020,D-AFT Debit,3602059616,3551976,2663214.6,3054817707,7/14/2021
189,2020,7/14/2020,E-Encoded Paper,423410707.3,43507,37715.6,562574519.8,7/14/2021
190,2020,7/14/2020,F-Remittances,1718441.31,1561,1763.2,1755472.744,7/14/2021
191,2020,7/14/2020,G-Rec Gen Warr,453314518.9,441916,285090.8,368941954.7,7/14/2021
192,2020,7/14/2020,H-Bonds & Coupon,925,4,1.2,280.8,7/14/2021
193,2020,7/14/2020,I-Images,0,0,0,0,7/14/2021
194,2020,7/14/2020,J-Online Cr Pmt,12256315.82,34738,17861,6334608.886,7/14/2021
195,2020,7/14/2020,K-Online Pmt Ref,72829.17,668,366.8,48968.234,7/14/2021
196,2020,7/14/2020,M-Gov Direc Dep,1798101330,1003836,1517045.6,1870016624,7/14/2021
197,2020,7/14/2020,N-Shared Network,130553292.2,895178,464796.6,73480772.38,7/14/2021
198,2020,7/14/2020,O-Images,7960356761,1517400,1218907.6,7682503624,7/14/2021
199,2020,7/14/2020,P-POS - DR,1690567329,42022465,20838862.6,862111319,7/14/2021
200,2020,7/14/2020,Q-POS - CR,22357905.37,335115,162639,10938487.13,7/14/2021
201,2020,7/14/2020,R-Image Returns,0,0,0,0,7/14/2021
